t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
1,6.57,164.9,11.46,18.477,0.71,373.23,,,,,,,,,,,,,,,,
2,6.53,173.78,11.35,20.168,0.67,363.01,,,,,,,,,,,,,,,,
3,6.54,176.56,10.75,20.238,0.6,358.41,,,,,,,,,,,,,,,,
4,6.41,194.01,12.89,22.333,0.74,363.9,,,,,,,,,,,,,,,,
5,6.39,184.41,12.26,20.753,0.73,350.91,,,,,,,,,,,,,,,,
6,6.31,181.33,11.22,20.82,0.65,344.86,,,,,,,,,,,,,,,,
7,6.43,184.32,12.17,20.73,0.71,377.59,,,,,,,,,,,,,,,,
8,6.38,185.07,12.17,21.719,0.71,378.56,,,,,,,,,,,,,,,,
9,6.57,175.56,11.78,20.362,0.69,377.88,,,,,,,,,,,,,,,,
10,6.33,197.41,12.07,20.672,0.68,383.35,,,,,,,,,,,,,,,,
11,6.46,453.02,14.43,21.692,0.76,375.58,,,,,,,,,,,,,,,,
12,6.46,203.21,13.77,20.858,0.79,372.13,,,,,,,,,,,,,,,,
13,6.44,197.19,12.23,20.28,0.7,386.86,,,,,,,,,,,,,,,,
14,6.48,197.54,11.39,20.074,0.67,385.8,,,,,,,,,,,,,,,,
15,6.42,198.77,11.81,21.174,0.7,381.39,,,,,,,,,,,,,,,,
16,6.52,197.39,10.9,20.967,0.63,380.87,,,,,,,,,,,,,,,,
17,6.51,182.71,11.71,20.965,0.64,377.68,,,,,,,,,,,,,,,,
18,6.44,201.65,11.62,21.851,0.69,384.08,,,,,,,,,,,,,,,,
19,6.32,190.73,12,20.905,0.72,384.56,,,,,,,,,,,,,,,,
20,6.37,192,14.19,19.837,0.88,377.67,,,,,,,,,,,,,,,,
21,6.71,192.04,11.49,18.627,0.63,376.65,,,,,,,,,,,,,,,,
22,6.49,178.55,14.1,17.749,0.83,375.61,,,,,,,,,,,,,,,,
23,6.45,194.36,14.01,19.23,0.83,376.61,,,,,,,,,,,,,,,,
24,6.4,187.8,9.22,19.801,0.48,378.62,,,,,,,,,,,,,,,,
25,6.68,211.18,17.84,20.793,1.71,389.02,,,,,,,,,,,,,,,,
26,6.54,196.4,20.57,20.679,2.3,374.95,,,,,,,,,,,,,,,,
27,6.55,199.12,21.438,22.52,2.48,374.37,,,,,,,,,,,,,,,,
28,6.66,204.69,18.068,23.61,2.53,385.28,,,,,,,,,,,,,,,,
29,6.7,462.95,23.388,24.2,2.57,378.44,,,,,,,,,,,,,,,,
30,6.37,209.58,20.79,24.34,2.56,371.31,,,,,,,,,,,,,,,,
31,6.47,218.74,21.021,25.3,2.6,373.82,,,,,,,,,,,,,,,,
32,6.39,206.11,21.469,24.71,2.59,375.21,,,,,,,,,,,,,,,,
33,6.54,211.25,21.896,25.28,2.6,383.23,,,,,,,,,,,,,,,,
34,6.45,203.94,20.742,24.2,2.57,368.59,,,,,,,,,,,,,,,,
